사용자,평점,댓글 내용,감정
moongun,2,전개가 불친절한 80년대 외화 느낌,부정
이남엽,1.5,소음 테러라는 메인 플롯부터 재미가 약한데 테러리스트의 명분과 비하인드 스토리가 재밌을리가,부정
자유로운소년,3,"소리를 이용한 테러...
소재도 좋은 것 같았고 배우들 연기도 나쁘지 않았는데...
사연에 너무 치우친 나머지 이도저도 아닌 밍숭맹숭한 영화가 되어버린게 아쉬웠던 영화",긍정
yuyuyu,2,"누가자꾸 이종석 악역연기시키냐....
진짜 못하고 어색해.....ㅎ
브이아이피랑 진심 똑같아 발전을 안함...
동생위해 절절한장면은 괜찮은데...
그냥....그냥 악역을 하지말아줘....

시작하자마자 차은우 잘생기고 영화도 귀여워서 훈훈했는데.....ㅎ 도입부가 제일 재밌었다

전체적으로 매우 무난했다
반전이고뭐고 다 예상가능한 수준의 영화인게 참 아쉬웠음....

비상선언느낌이라는 글 종종봤는데 그거랑은 약간 다른결인느낌....

폭탄이터지는데 이렇게 긴장감없는영화는 처음이야

재관람의사X",부정
💭🤍,3,"이종석 차은우 형제 이야기를 더 풀어줬으면.. ㅎㅎ
어떻게 왜 무슨 이유로 형제가 같이 해군을",긍정
이주영,1,"제작사, 배급사, 투자사, 대중.. 도대체 어디가 문제냐",부정
감자칩,2.5,다양한 신파를 더하며 본질을 잊은,중립
에토스,1.5,탑건2의 시대에 데시벨의 등장이라…,부정
김안나,2.5,"기시감. 소재도 연기도 이야기도 연출도 어디선가 다 본 듯 하다.(특히 이종석의 캐릭터와 연기는 너무도 식상했다. 김래원의 연기는 좋았다.)하지만 군인으로서, 한 인간으로서 가지는 딜레마에 대한 내용은 퍽 인상적이었다. 그래서인지 이 영화를 블록버스터가 아닌 심리극으로 풀어냈더라면 어땠을까 하는 아쉬움이 남는다.

사족) 의외로 개그감이 좋다. 웃어야할 상황이 아닌데 간간히 터진다. 감독의 다음 작품은 코미디영화였으면 좋겠다.",중립
ElinKim,2,기억속엔 차은우와 이종석의 눈물뿐..,부정
Apoteosis,3,"뭘 말하려고 하는지는 알겠는데, 감독 욕심이 좀 과한 듯.",긍정
1220,2.5,이런 연출 볼 때마다 느끼는 거지만 죄없는 운전기사들과 그들의 가족이 너무 신경쓰여요 ^_ㅠ,중립
Skakbus,3,얼굴이 짜릿해,긍정
Kyosanii,1.5,"2022년 최고의 코미디영화!
극장에서 웃음참다가 죽을뻔했습니다
킬링포인트가 매우 많으니 꼭 봐주세요",부정
솔아,1.5,열연한 배우들의 연기가 아깝다.,부정
Jason Bourne,3,소음이 커지는 순간 폭발한다는 독특한 소재여서 점수를 주고 싶지만 개연성 없는 부분도 있었고 이런 진지한 영화에 왜 긴장감 떨어지게 코믹한 부분을 넣었는지 이해불가였고 그래도 과하지가 않아서 그나마 괜찮았고 질질 안 끌고 속도감 있는 전개는 마음에 들었다. 그리고 이 영화가 좋았던 것 중 하나는 욕을 남발하는 대사가 없었던 것 이건 좋았음.. ㄱ 런 영화는 개인적으로 별로.. 이런 긴박하고 긴장감 있는 영화는 배우들의 연기가 도와주지 못하면 힘든 영화인데 배우 하나하나의 연기도 좋았고 이종석 같은 캐릭터가 밑도 끝도 없이 테러하는 캐릭이 아니고 이유가 있는 캐릭터이고 아픔을 가진 이유 있는 악역이라 매력 있었다. 전반적인 스토리는 천안함에서 가져왔는데 영화 쿠르스크도 생각이 났다. 현실에서도 이런 군 사고가 많이 일어나서 스토리 면에서는 이상하지 않았지만 잠수함에서 일어나는 사건이라는 점에서 참신한 소재의 영화였다. 제작사 대표가 해바라기에서 데시벨로 대표작이 바뀔 거라고 했다던데 그 정도는 아닌 거 같다. 킬링타임용으로는 좋았던 영화..,긍정
심슨,3,쓰이지 않는 신선한 설정은 관객에게 환영받기 어렵다.,긍정
こぐま,2.5,왜 데시벨이라고 지었는지 모르겠음 그냥 데시벨 갖다붙인 느낌?,중립
SooooodaL,,"대체 이영화가 어떤데...시벨?🤔

평이 혹독해서 오히려 궁금해지는 영화..지만

차은우실물짤로 홍보 도배할 때 어렴풋이

알아차렸..ㅋㅋㅋ

미안 그냥 데..시벨 드립이 치고싶었어

다했으니 갈께 안녕😆🤣",알 수 없음
epdnicis,2,"아무리 예쁜 색의 물감이라도 섞으면 검정색이 되듯이, 이 영화도 여러가지를 섞다보니 정체성을 잃어버린 것 같다.",부정
☀️🌕⭐️,2.5,감독이 영화에 담고 싶었던 내용과 주제가 일치되는지 의문이 든다 과연 데시벨이 이 영화의 제목으로 알맞을까? 물론 영화를 보는 관객 개개인이 자유로이 생각하고 판단할 문제라고 생각한다 훌륭한 라인업에 비해 헐렁했다 정상훈 배우역도 애매했다 킬링타임을 원한다면야 추천,중립
하면된다,1,절대 제목을 잘못지음.,부정
박종미,2,기억에 남는 건 정상훈의 축구장 난입뿐.,부정
KIM YUN,3.5,"공리주의를 대표로 다양한 윤리적 결정에 따른 나비효과를 과거와 현재의 적절한 비중으로 잘 풀어냈다는 점이 특별하다고 느꼈는데, 전체적인 것은 이것과 비슷한 장르와 크게 다르지 않는다는게 좀 아쉽다.",긍정
증승록,1.5,도저히 종잡을 수 없는 동그라미형 연출의 향연,부정
영준,2.5,﻿본인이 쏘아 올린 어뢰에 스스로 침몰하는듯한....,중립
신종한,2.5,"데시벨이 상승할때마다 손에 땀이 쥐어졌다.
하지만 테러의 명분이 드러나는 순간 또 다른 소음이 잡음이 되어 차게 식어버린다.",중립
꾸에엑,2,어울리는 것 같지 않은 재료를 섞어놔서 신박할 줄 알았는데 이도 저도 아닌 것을 내놓았다. 완전히 폭탄테러범과의 심리싸움인 줄 알았지 모야.,부정
한민영,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
이상원,,"이종석 배우는 드라마 보는 눈은 있는데, 영화 보는 눈은 영 없는것 같다",알 수 없음
이정우,1,사연있는 악역 만들 시간에 한컷 한컷의 사연이나 고민했음 좋겠다.,부정
,2.5,차은우로 해사하게 시작하긴 했는데… 이 시국에 이런 상황을 영화로 본다는 게 힘들다…,중립
헵번공주,3.5,스포일러가 포함되어 내용을 생략했습니다.,긍정
sonatine,1,소재는 흥미로웠으나,부정
영원,1,오 차은우.,부정
lupang2003,2,"겉으로는 상업 장르영화를 표방하지만 막상 내면에는 뜻밖의 심오함이나 무거운 주제를 던지는 작품들이 있다. 적절한 균형 안에서 이야기가 잘 다듬어지고 충분한 설득력을 담보로 한다면 한계를 넘어선 수작으로 평가될 수 있다. 하지만 유감스럽게도 대다수의 경우는 관객의 기대를 저버린 ‘배신’이란 혹평을 피하기 힘들다.

〈데시벨〉 역시 이런 도박과도 같은 위태로운 양면성을 내포한 작품이다. 평가의 호불호를 가를 중요한 포인트이기도 하다. 관객들에게 ‘액션영화 이상’이란 환영을 받거나 ‘이도 저도 아닌 액션영화’란 외면을 받게 될 수도 있겠다. 〈데시벨〉은 ‘사운드 테러 액션’이라는 메인 카피에서 알 수 있듯 표면적으로는 정통 액션영화를 예상케 한다. 홍보 역시 이에 주력한다. 소음으로 작동하는 폭탄이란 소재, 군중이 밀집한 축구장 전경이 포착된 티저 포스터, 테러를 막기 위해 동분서주하는 주인공을 부각시킨 예고편 등 일관된 정보로 관객들의 장르적 기대치를 높인다.

한나절 동안 부산 시내를 배경으로 한 테러 극이 매우 숨 가쁘게 펼쳐진다. 한적한 주택가, 아파트 놀이터, 축구장, 워터파크, 고층 컨벤션 센터 등 주변에서 친숙하게 마주할 수 있는 공간 다수가 위기의 무대로 쉴 새 없이 등장한다. 빠른 전개를 욕심낸 건 좋은데 순간순간 고개를 갸우뚱하게 되는 지점이 빈번하다. 예를 들어 주인공을 비롯한 대부분의 인물이 사건에 휘말리는 과정은 구도적으로는 납득이 되지만 감정적으로는 설득이 되지 않는다. 영화의 키포인트라고 할 수 있는 소음감지폭탄 역시 영화 속 정보만으로는 대략적인 작동 방식을 짐작만 할 뿐 정확히는 모르겠다. 나중에 보도자료와 기타 정보들을 통해 기본적으론 시한폭탄이며 일정 소음 이상이 되면 제한시간이 절반으로 줄어들거나 바로 폭발하는 방식이라는 점을 확실히 이해할 수 있었다. 그럼에도 공개된 영화는 관습적 장르와는 다소 거리가 있는 이야기 쪽에 좀더 공을 들이고 있는 모양새다.

영화는 현재의 테러 사건을 전개하는 사이사이에 발단이 된 과거의 사건을 놓치지 않고 끌어들인다. 말미에 가서는 과거의 사건 자체에 더 큰 무게를 싣는 느낌이다. 실제로 드라마적 연출도 훨씬 공을 들인 흔적이 역력하다. 일단 장르 불문하고 ‘결말에 가서는 결국 관람객들을 울려야 한다’는 한국영화만의 흥행공식을 답습하고 있다는 비판을 피하기 어려운 지점이다. 그럼에도 영화 〈데시벨〉을 보고 긍정적 평가를 하는 관객이 있다면 그는 아마 이 후반부의 과거 장면과 여기서 파생되는 애잔한 정서에 몰입한 관객일 것이다.

여기서 ‘선택’은 의외로 큰 비중으로 다뤄지는 주제다. 과거와 현재를 관통하는 중요한 모티브가 된다. 감독은 이 영화가 시원한 액션영화의 가치와 별개로 ‘불가피한 기로에서 선택을 강요받은 사람의 이야기’라고 정의한다. 이는 다시 ‘필연적 희생’이라는 대의적 주제로 확장돼 관객들에게 많은 질문을 던진다.‘선택’에서 비롯된 ‘희생’과 ‘책임’이라는 화두를 그 어느 때보다 절절히 실감하는 시대다. 절대적 평가를 떠나 그냥 한편의 액션영화로 치부하고 넘어가기엔 여러모로 여운을 남기는 작품이 될 것 같다.",부정
김성호의 씨네만세,1,딜레마가 아니라 당위에 가깝다. 논쟁적이지 않은 문제로 논쟁을 일으키려 하니 불이 붙지 않는 것도 당연한 일이다. 개연성이 상실된 시나리오는 얄팍한 연기를 그대로 노출시켜 보는 이만 민망케 한다. 하나하나 따져보면 뭐 하나 제대로 되어있는 게 없다. 이런 영화라면 나오지 않는 편이 나았을 테다.,부정
Luna🌙,1,"소리가 커지면 폭발하니
데시벨 낮추려 자꾸 찬물을 끼얹은 건가

스토리에도 캐릭터에도
긴장감에도 웃음포인트에도
어디에도 집중하지 못하게 한다",부정
김웅기,2,절정이 약하다. 쓸데없는 장면 구성이 많다. 촌스럽다.,부정
sponeKBG,1.5,영화의 부족함을 보고 관객들이 내뿜는 분노의 데시벨을 듣기를.,부정
공태건,2,주제의 과포화 상태가 이도저도 아닌 이야기로 만들고 있다.,부정
RagingBull,2,"보통 이런 식의 교묘하고 섬세한 게임 같은 복수극은 그 자체가 주는 재미를 느끼고 행하기 마련이다.
즉, 반사회적인격장애를 가진 인물이 장기를 두며 말을 한둘씩 제거해나가는 듯이 즐기면서 해나가야 납득이 된다.
그러나 단순히 악에 받친 사람이 뭣 하러 저렇게 게임을 하듯이 할까?
쉽고 빠른 방법이 있을 텐데 말이다.",부정
Haribo,1.5,터지는 영화 맞냐. 고요해서 아주 잠이 솔솔 온다.,부정
조정희 영화평론자,2,"데시벨

사운드를 이용한 부비트랩 폭탄 전문테러와의 대결이라는 점은  이미 "" 분노의 폭발""에서 시작된 고전 중의 고전이다.
좀 더 정교하고 다양한 부비트랩을 이용해서 ""쏘우""를 표방했거나 폭탄 해체 장면에서의 연출력으로 긴장감을 더 자극 해야 했다.
꽃미남 김래원의 늘어난 주름과 웃음을 위해 노력하는 정상훈의 열정이 도로 씁쓸한 마음을 자아낸다.",부정
스테민,2.5,"리더로서 어쩔 수 없는 선택을 한 것과 폭탄테러의 복수극은 꽤나 괜찮았다.
허나 김래원에게 너무 집중한 나머지 이종석 그 외에 케릭터들의 존재감이 너무 없고 굳이 이 역할들이 필요했을까 싶을 정도.

무엇보다 이해가 안되는건 이 영화의 제목.
누가 지었냐 진짜.
영화의 소리적요소에 집중할려고 했다면 감독의 대실패.",중립
데이지헐,5,"한명이라도 더 살리려는 마음, 나의 한 사람이 살아야 하는 마음.",긍정
이태형,1,억울함을 밝히겠다고 범인은 테러를 하는데 이 영화를 보는 동안 내가 점점 억울해진다.,부정
무비조이,2,"""사운드 테러 액션""에서 ""사운드""는 빠져야 하는 영화",부정
HAN,2,오랜만에 김래원의 멋있는 모습,부정
쿠키,2,제목이 왜 데시벨인지 모르겠다,부정
인생은 아름다워,2.5,": 비슷한 느낌의 전개 영화가 너무 많다.
아직도 영화로 돈 낭비 쉽게하는 한국 영화계..",중립
Axllow,2.5,"김래원과 이종석의 갈등대결에 누구에게 편을 들어줄수 없었다.
둘다 맞는말을 하고 있고 그 갈등이 극에 달했다는건 이해하지만 왜 이렇게 유치한 느낌이 많이 드는걸까?
이종석의 트랩들 설치를 어디서부터 이해해줘야되는진 모르겠지만 훼이크까지 준비하는 여유로움에 애초에 이종석이 잠수함을 타는것보단 폭탄전문가 직업이 더 좋지 않았을까싶다. 애초에 김래원 부인은 폭탄제거 전문가인데 이종석이 머리꼭대기에서 놀고있다.
이둘은 서로 갈등이라도 있으니 그러려니하는데 정상훈 역할이 문제가 많다. 아무리 기자라지만 김래원 말한마디에 축구장까지 들어가는 무모함은 이해하기 어렵다. 감초역할을 한다지만 적절하지 않은 상황의 조크는 안하니만 못하다. 이름있는 나머지 조연들도 크게 눈에 띄지않았다. 여러뭐로 아쉽다.",중립
달달보름,2,그래서 소리나면 왜 터지는건데…,부정
JP,1,빼애애애애애애개애갱갱객앵객,부정
죠르디,3,바닷속이 아니라도 밀폐와 침전,긍정
정아롱,2.5,"영화가 불친절하여 개연성이 더욱 떨어져보인다.
태성이 소리에 반응하는 폭탄을 사용한것은 동생 태룡이 음탐사이었기때문인것 같은데 이 부분에 대한 설명이 없어 데시벨이라는 영화 제목조차 뜬금없는 기분이 들게 한다. 전체적인 줄거리를 위해 어쩔수 없었나 싶기도 하지만 편집이 아쉽다.",중립
최준혁,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
장호준,2.5,"스릴러의 외피와 작법을 갖추기는 했지만 ‘데시벨’은 비참하게 희생당한 병사들의 품격에 관한 영화다. 다만 풀어내는
방식은 미숙하거나 단순한 편이다.",중립
죠온윅,3.5,"사연이 너무 에바로 슬퍼서 왜일까 곰곰히 생각해보니 아무래도 미모 때문인것 같음
근데 왜 데시벨 테러일까? 소재와 플롯이 잘 안붙음
암튼 결론은 전반적으로 발신제한이랑 완전완전 유사한데 전반적으로 잘생김.",긍정
김석원,2,테러치고는 긴박하긴 한데,부정
탬토,1,볼만한건 차은우와 이종석 얼굴뿐,부정
여은영,3.5,스토리는 뻔하지만 배우들 연기가 좋아서 그럭저럭 봄!,긍정
감자,2,이종석이랑 역할이 너무 안 어울려서 몰입이 깨진다,부정
로즈버드,2.5,공허하게 울려퍼지는 폭발음,중립
최한수,3,소재 약간 한국판 코난 극장판 같아서 신선했는데.. 추리물이라기에는 용의자 설명 시간이 너무 없었다.,긍정
조준,1,수업시간에 틀어줘서 어쩔 수 없이 본 기분,부정
unfilm,2,서스펜스를 제대로 가지고 놀지 못한다.,부정
김지훈,1,"재미, 개연성 없고
스토리 빌드업도 부실한데다가
전개 방식도 난잡해서 초반엔 누가 누군지 이해하기 힘들어 내용이 이해가 안갔음
그리고 폭탄이 왜 하필 데시벨 감지 폭탄인건지 이유가 전혀 안나옴
영화 보는 와중 박차고 나오고 싶었음",부정
나는김졔,1.5,다 됐고 잘생긴 사람내놔요 그거보러 갔는데,부정
김민욱,3,등장하는 인물 기관 사건 배경 등은 실제와 어떠한 관련도 없습니다. 만일 실제와 같은 경우 이는 우연에 의한 것임을 밝힙니다.,긍정
이메롱 😎,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
김기욱,5,"뒷자리 잼민이들이 팝콘던지고 소리질러대는것때문에
긴장감은 배가 되었다",긍정
인욱,3,"뱃사공이 많아서 산으로 간걸로 합시다..
많이 애매했다ㅠㅠ
하도 많이 욕 먹어서 보호본능 자극하는 영화..
제로 베이스의 기대감으로 갔던 나는 그냥저냥 볼 만 했다.",긍정
석재현,2,뷔페에서 맛있어 보이는 음식들 욕심 부리려고 한꺼번에 담아 먹으려다 체한 듯한 답답함 가득.,부정
이경아,2.5,그러니까 바닷속에서의 일이 왜 폭탄까지 이어지는지 당췌 알 수가 없는 그런 생각이 멈추지를 않아서.,중립
영화봤서윤,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
박석호,1.5,어느 영화는 설명이 너무 적어도 문제.,부정
율 리,3.5,"연출이 조금 촌스럽긴 한데 ,,
소재도 좋고 이종석 얼굴은 더 좋고.

@CGV 개봉 4일차에",긍정
박서영,0.5,스포일러가 포함되어 내용을 생략했습니다.,부정
릴리슈슈,1.5,스포일러가 포함되어 내용을 생략했습니다.,부정
김바우,1,좋은 소재건 뭐건 감독이 성의가 없으면 뭔 소용? 사실 끝까지 보니 소재도 쓰다가 버렸음,부정
선인,2.5,의무론적 윤리 vs 공리주의,중립
내성적인 윤도치🦔,2.5,"영화가 전하는 이야기와 테러 액션 그리고 코미디가 실타래처럼 마구 엉켜 있어 실 한 가닥씩 손쉽게 풀리는 느낌이 들지 않는다. 다만, 극중 인물들의 선택은 '비상선언'만큼 설복이 못되는 수준은 아니다.

(그렇지만 '데시벨' 타이틀이 등장한 뒤 사진 찍는 장면을 꼭 넣어야만 속이 후련했냐.)",중립
👋🏻,2.5,"보는 내내 눈물이 났다
하품을 너무 많이 해서..
그래서 뭐 어쩌라는 건지",중립
예민한혜민,2,"이렇게 지루하게 만들기도 힘들겠다..
이민기 그만 이 감독하고 연을 끊어라

+ 히어로는 정상훈",부정
창개구리,2,음파를 쏴야하는데 마구잡이로 퍼지는 잡음같은 방향이 없는 공허함,부정
송유현,2.5,"무려 <데시벨>이라는 제목을 걸고도 대사가 제대로 들리지 않는다.

서스펜스 이후 코미디씬은 극을 몰락의 지경으로 만든다. 악수 중에 최악수다. 단지 소재가 아까울 뿐.",중립
김하영,0.5,제목 왜 데시벨 ;,부정
Risecys,2,적어도 코믹은 넣지 말았어야 했다. 재미와 웃음 두 마리 토끼 다 잡으려다 Fail... 이런 데...시벨..,부정
ratte401,3,"액션영화라는 정체성을 더 살렸어야 감독이 의도했던 감정씬들이 더 살았으리라본다. 폭탄테러 영화에서 폭파씬이 너무 후지고, 카메라는 액션을 담을 생각이 없어보인다.",긍정
조성윤,1,소리없는 아우성으로 가득찬 묘한 긴장감,부정
주변인,2,보고 울었다. 자존심 상해…,부정
개가오,3,"정치적 논란을 불사하고 논란이 생길 설정을 기획한 의의를 모르겠고

실제 사건과 상관없이 소재일 뿐이라고 하기엔
주제를 일궈내는 것에 상당히 영향을 끼치는 편이라
시사회에 있었던 논란이 있을 수밖에 없었다.

물론 본인처럼 영화 외적인 논란은 흥미거리일 뿐이고
정치적 스탠스에 벗어나 영화 그 자체로 감상한다면 신경 쓸일도
없겠지만

논란을 배제하고 보더라도 개인적으로 정말 걱정했던 요소 중 하나인
뻔하고 지겨운 국산 재난 및 폭탄 테러 영화에서 전혀 벗어나지 못해

소리에 반응하는 폭탄이라는 남다른 설정이 무색할 정도로
소재를 살리지 못해 논란만 남는 영화였다.

더불어 상당히 간편하고 쉬운 이야기에
개연성을 배제한 무리수 대잔치로 작위적인 상황만 두드러지고
오글거리는 신파극의 기운이 느껴지기까지 했다.

물론 간편한 이야기 구성으로 소수 인원이 테러를 저지한다는 설정으로
구구절절한 설명 없이 손쉽게 목적의식을 구축해 흐름을 유지하고

위기의식을 끊임없이 주입함과 동시에
주인공의 감정선을 이끌어내면서 폭탄 테러와 복수극에서 볼 수 있는
가장 근본적이고 전형적인 몰입감을 선사했다.

하지만 그것도 잠시 범인의 윤곽이 드러나기 시작하고
유추하기 쉬운 비밀과 함께 작위적인 전개와 무리수를 던지기 시작해
손쉽게 구축하고 유지되던 몰입이 점점 흐릿해졌다.

본 작품의 이야기를 지탱하고 근간이 되어주는 건
주인공과 테러리스트간에 상관관계에 있기에 단순히 가해자와 피폭자로
나누는 게 아닌 영화를 이끌어가는 두 인물의 사연을 기반으로
전개해야 한다.

즉 가해하는 태러리스트의 목적의식과 행동의 의의
그리고 지켜야 하고 저지해아 하는 주인공간에 얽히고설킨 사연으로
갈등하고 충돌하며 인물의 감정선에 강렬한 울림을 주면서

관객으로 하여금 영화에 이입하며 볼 수 있도록 해야 했다.

하지만 비밀스럽지 않은 인물의 주인공을 향한 압박만 있었고
의문을 느낄 여지나 재치있는 장면도 없어 단조로운 영화로 전락했다.

데시벨이라는 제목과 소리에 반응하는 폭탄을 강조한 예고편으로
호기심을 이끌어냈으면서 정작 영화엔 전혀 돋보이지 못했다.

예고편으로 보여준 구간 말고는 딱히 효과적으로 활용한 장면이 없었고 지략도 특색도 없는 폭탄 테러와 무리수와 작위적인 전개로 점철해

영화의 깊이와 내제된 매력을 감퇴시켰을 뿐만 아니라
테러리스트이자 지략가로 설정된 인물의 캐릭터성 마저 퇴색시켰다.

목적의식과 위기감 그리고 응어리진 감정과 갈등 및 충돌
소음에 반응하는 폭탄이라는 특징과 위압감을 지닌 탁월해 보이는 구성이 시시껄렁한 각본에 모조리 휩쓸려 버렸고

영화외적으로 치명적인 논란만 남겨버린 영화가 되었다.

작품 외적인 논란을 배제하고 보자면 나름 주제 심도 있는 주제를 담아
관객들에게 생각할 여지를 남기면서 이야기에 깊이감을 주면서
여운을 남기려 했고 영화에 잘 녹여낸 듯 했지만

중후반부 까지 단조롭게 전개하다가 후반부에 드러나는 바람에
작품 전반에 녹아들지 못해 깊게 와 닿지 못했고

이마저도 신파극일 필요가 없음에도 감정 호소하려는 듯한
작위적인 연출로 인해 주제가 가진 의미를 변질시켜

정말 좋은 조건과 흥미를 이끌어낼 장치들을 갖췄음에도
단 하나도 살리지 못한 아쉬움만 남는 영화였다.

-쿠키 1개 있음-",긍정
YUWA,2.5,터질게 안 터지고 자꾸 다른게 터지더라..,중립
해석왕 고태일,3,사람이 모여서 소리 높이는 것은 재앙이 아니다.,긍정
정하림,3,제목 지은이 나와쥬세요?😅😅,긍정
소신껏 기록,2,"긴장감 넘치는 추격전이 펼쳐질 줄 알았는데 감독의 욕심 탓에 배가 산으로 간다.
전혀 다른 주제를 하나로 표현하려니 전개가 말도 안되고
재미없는 개그캐 등장으로 몰입까지 망친다.
‘어떤 판단을 내릴 것인가’라는 메시지에 집중하여 제작했더라면 더 좋았을텐데",부정
여원,2,"촌스러움의 극을 달리는 연출.

후반 산소에서 전후의 컷이 겹쳐지는 화면 연출은 정말이지 내가 지금 2000년대 초 영화를 보고 있는건가 두 눈을 의심 할 수 밖에 없었다..",부정
김성혁,2,소재를 떠나 다이하드 3가 머릿속에 떠나가질 않는다.,부정
토매토,1,차은우 ………… 존⃫나⃫ 잘생겼따 ㅜㅜ,부정
얼굴복지사황민현,2.5,"최고의 조건을 가지고 있지만 아쉬운 연출과 스토리였음 감정선이 중간에 이해 안 가는 부분이 많았고 연결 되는 게 매끄럽지 않음

장점은 엄청난 캐스팅과 눈호강과 가끔의 웃음 정도",중립
공태윤,2.5,선택의 문제로 시작되는 이야기 누가 과연 그 선택을 평가할 수 있을까?,중립
No.1 Jun K,1.5,폭탄테러가 재앙이 아니고 이 영화야말로 재앙이다,부정
정현우,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
🎬🎬,2,스포일러가 포함되어 내용을 생략했습니다.,부정
이종재,2,"이 영화의 데시벨은 0이다

배우들의 연기력도 커버가 안되는
아쉬운 영화

영화제목도 스토리도 구성도 이유도
어느하나 매력이 없다",부정
김세희,2.5,"예고편, 정보 하나도 없이
나오는 배우만 보고 급 영화관.
마음만 심란해...",중립
주롱쓰,2.5,테러 영화인데 긴박감이 없는게 놀라울 뿐,중립
주변인,1,달리지 않고 문워크한다,부정
조맹구,1.5,소재는 나쁘지않았는데 제목이랑 다르게 내용이 산으로 가버린 느낌?,부정
영화는 오로지 영화로만,1,한시간 정도 보다가 머리가 너무 어지럽고 속이 울렁거리기 시작해서 제대로 못봤음...영상이 너무 흔들리고 핸드헬드 기법이라 그런지 초점이 맞질 않아 시각적으로 너무 힘들었다. 영화가 끝난 후에도 컨디션이 회복이 안되네...어지럼증 있는 분들은 피해야 할 영화,부정
세상을봄,3.5,"까놓고 말하면 만듦새는 많이 부족했다. 그리고 제목과 스토리간의 연결고리가 옅다. 과거-현재 간의 이야기 전환이 자연스럽지 않기도 한데 중후반부의 이야기가 꽤나 깊어서 이 모든 단점이 상쇄된다.
과거의 이야기가 펼쳐지면서 생존을 포기할 수 밖에 없던 자들과 생존하다 못해 죽고싶은 자들의 이야기는 상황이 슬프다.

그렇게 데시벨은 일반적인 테러물을 기대하고 봤다면 아쉬울 것이고, 장르를 생각하지 않고 봤다면 재밌게 느껴질 영화다.
-
아쉬움이 큰 영화일수록, 생각이 많이 난다던데 이 영화가 딱 그랬다.",긍정
함성규,1,"보는 내내 긴장의 끈을 놓을 수가 없었다...

이종석이 설치한 폭탄보다
같이 보던 관람객들 복장이 먼저 터질까봐..",부정
맹탐정,1.5,형제가 어떻게 아랍두부...,부정
사탕수수맛없어,0.5,"음모론 주장하고 싶으시면 영화 아닌 다큐를 찍으시길
떳떳하시다면 예고편에 넣으세요. 해군으로서 정말 모욕적인 영화",부정
MOON,3,"2022.11.14 CGV 영등포 시사회

더 많은 폭탄들이 터져도 모자랐을거 같은데
갑자기 휴머니즘으로 바껴서 실망이 크다.
포스터에서만큼 폭탄의 비중이 크지는 않음.",긍정
panicmaker,1.5,폭탄도 터지고 웃음도 줘야하고 비장하기까지해야하는 상업영화의 슬픔이여 (감독의 전작들을 생각하면 더욱 안타까움),부정
Derek,1,그냥 안봐도 재미없는게 훤히 보임,부정
