사용자,평점,댓글 내용,감정
메디베이,5,스포일러가 포함되어 내용을 생략했습니다.,긍정
램쥐,1.5,OMG...,부정
모정연,5,"ㅈㄴ 재미있다 소담눈나 이뻐요
왓챠 꼭 나와라 ㅈㅂ..",긍정
김남희,3,"짧은평: 음 그래 영화적 허용이지
어..그래 영화적 허용..
에이씨 이것도 영화적 허용?
---------------------------------
액션하고 차량 추격씬은 볼만했습니다 하지만 엔딩이 너무...뭘 말하려는건지도 모르겠고..음....🤔
그래서 3점 주려고 했는데 박소담 배우님이 너무 예뻐서.. 그래서 4점..이라고 하기에는..음...
네 그렇습니다 3점",긍정
김은중,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
동구리,2.5,"부산에서 폐차장을 운영하는 백사장(김의성)과 함께 일하는 운전기사 장은하(박소담)는 독특한 일을 하고 있다. 수하물을 가리지 않고 배달하는 ‘특송’ 전문 드라이버인 그, 어느 날 프로야구 승부조작 브로커의 어린 아들 서원(정현준)을 맡게 되고, 서원이 가진 은행 보안키를 찾기 위해 경필(송새벽)이 그를 쫓기 시작하며 특송이 꼬이기 시작한다. <그림자 살인>, <봉이 김선달> 등을 연출한 박대민 감독의 신작이자, <기생충> 이후 박소담의 첫 영화 주연작이다. 뤽 베송의 <택시> 시리즈나 제이슨 스타뎀의 <트랜스포터> 시리즈 같은 액션 영화가 연상되고, 월터 힐의 <드라이버>, 존 카사베티스의 <글로리아>, 그리고 <레옹> 등에서 따온 설정들이 눈에 들어오는 작품이다.
_
<특송>은 유럽과 할리우드 영화에서 따온 요소들을 한국적으로 버무리기 위해 노력한다. 이는 딱히 부정적인 의미는 아니다. 백사장의 폐차장이 부산 기장 지역에 위치해 있는 만큼, 부산지역의 골목길 곳곳이 영화에 사용된다. 특송 전문 드라이버인 장은하가 경찰 또는 경필 일당과 벌이는 카체이싱 장면도, 다시 보고 싶을 정도로 인상깊지는 않지만, 충분히 즐길만한 퀄리티를 선사한다. 장르적 쾌감에 집중하면서도 캐릭터의 전사를 놓치지 않고, 그것을 굳이 플래시백 같은 방식으로 보여주지 않는 다는 점도 나름의 장점이다. 장은하라는 캐릭터는 구질구질하지 않다. 그가 지닌 한국적인 맥락의 사연들은 자세히 설명되는 대신 기본적으로 ‘쿨’한 장은하의 몇 가지 반응으로 처리되고 넘어간다. 즉, 캐릭터의 사연을 강조해 관객들의 감정을 건드리는 한국 상업영화 특유의 전략을 택하지 않는다. 대신 장은하의 캐릭터를 설명하는 몇 가지 간결한 요소, 가령 팻캠으로 반려묘 포동이를 본다던가, 철두철미한 프로지만 뭔가 자꾸 놓고 다닌다는 것 등의 장면과 설정을 추가해 캐릭터를 풍성하게 만든다.
_
하지만 그뿐이다. <특송>을 특별하게 만들어주는 것은 딱히 없다. 카체이싱은 충분히 즐겁지만 기억에 남진 않고, 카체이싱 대신 육탄전으로 채워지는 클라이맥스는 액션의 만듦새가 나쁘지 않은 것과 별개로 다소 맥빠지는 위치에 놓인다. 초등학생인 서원 캐릭터는 한국영화에서 아이를 다룰 때 반복되는 양식, 한없이 철딱서니 없는 아이와 애늙은이처럼 의젓한 아이의 이분법을 열심히 오갈 뿐이다. 영화의 악역인 경필은 독특한 대사톤과 제스처로 주목받았던 송새벽 배우가 기존과 다른 연기를 선보임으로써 나름의 쇄신을 꾀하지만, 도리어 연기변신이 경필을 <특송> 이전에도 존재했던 여러 악당 캐릭터와 유사한 인물로 만들어버린다. 108분의 러닝타임이 크게 지루한 것은 아니다. 명절 시즌을 노려 개봉한 작품은 아니지만, 삼촌 이모가 중고등학생 조카를 데리고, 사촌동생을 데리고 두 시간을 보내기에 적당한 오락 영화다. 그것만으로도 영화의 소임을 다한 것이지만, 기억에 남을 임팩트 있는 장면이 하나만 있었더라면 하는 아쉬움이 남는다.",중립
청춘예찬,1.5,클리셰 그만. 킬링타임으로 보기에도 거북한 클리쎄 모음,부정
DoHoon Kim,3.5,영화제목 : 아줌마,긍정
미드나잇인파리,3,"초반부 카체이싱에서 본 희망을...
부디 후속편에서 이어나가길 바라는 마음에서",긍정
김서갑,2,잘 만든 인스턴트 짬뽕밥을 다 먹어갈 때쯤 주방장이 깽판을 친다.,부정
이그뤁,2.5,"배우들의 연기변신과 열연을 살리지 못한 미숙한 연출과 부족한 스토리.
초반 카체이싱 이후 연출은 서서히 힘을 잃는다.
노력했던 액션들은 너무 어두워 보이지 않고, 배우들의 열연에 그림자가 드리운다.

- 2022. 1. 7, CGV 영등포, VIP 시사회",중립
Hoon,1,"일부러 이리 만들기도 쉽지 않다, 좋은 배우들을 가지고.",부정
아재요🥽,2.5,"221220
너무 아쉬운게 많다. 마치 멋진 대사와 멋진 장면을 짤로 내놓으려고 만든 느낌. 그래서 뭔가 크게 결여되있다.",중립
네모로 배우는 세상,3,"특..별한 스토리는 아닌데
송..새벽과 박소담의 연기가 좋아 3점.. 아역배우도 너무 귀여웠고..",긍정
김재박,2,뭔가 스피디하게 만드려는 것 같았는데 왜이리 지루한지...,부정
무호두,3,"개성 없는 스토리의 밋밋함, 하지만 박소담은 빛났고 골목길 카체이싱은 신선했다.",긍정
주디,2.5,초보운전인 나는 운전씬이 제일 아찔했다,중립
무온도,2.5,귀한 배우가 흔한 영화를 신선한 시도로 바꿔 놓았다.,중립
부자연,3,"장은하(박소담), 조경필(송새벽), 백사장(김의성), 김서원(정현준), 한미영(염혜란), 아시프(한현민)
주연. 박대민 감독 작품.
20230123 MBC 설날특선
250803 MBC 출비 영화대영화",긍정
탄호빵,2,카체이싱 장면은 멋있다. 하지만 스토리나 다른 부분은 아쉬움이 남는 영화이다.,부정
김민섭,2.5,박소담 배우 때문에 봤습니다.,중립
박동형,2.5,"(대충 영화 이야기)

특송 (2022)

한줄평 : 운전은 잘하는데,,

티비 채널 돌리다보면 나오는 한국영화에서 심심찮게 볼 수 있는 오락, 범죄, 스릴, '한탕해보자'등의 장르들과 카체이싱을 막 버무리고 비비니깐,
맛있는 열무비빔밥이 아닌 그냥 꿀꿀이죽이 나왔다

'베이비 드라이버'를 참고했던 것 같은 괜찮은 카체이싱 장면도 몇 번 나오다가, 차는 어디 갖다버리고 그냥 맨몸만 던지는게 못마땅하네

아니 수위는 또 무슨 일이냐? 내가 알기로 설 연휴에 개봉해서 가족들 노린 것 같은데 무슨 손등에 나사를 박아버리고, 시종일관 피 칠갑질이고, 하루종일 칼질하고,,클레임 겁나 들어오겠네

장점 : 박소담한테 왜 자꾸 아줌마라고 하냐 이모도 아니고
단점 : 애 좀 그만 징징대면 좋겠다",중립
서정우,2.5,"인상적인 카체이싱으로 멋지게 주인공을 등장시켜놓고 엉뚱한 이야기에 휘말려서 이리저리 치이면서 속도감은 떨어지고, 갑작스러운 죄책감으로 인한 은하의 행보도 의아하기만 하다. 관객을 설즉하지 못하니 <베이비 드라이버>와 <레옹>의 짜깁기 아류작이라는 비판도 합당해보인다. 마지막으로 영화의 결정적인 핸디캡은 아역배우의 연기.",중립
조아이,3,이탈리안잡에서 아저씨까지,긍정
kimter,2.5,"뭔가 우당탕탕 하기는 하는데, 게리 올드만 역의 송새벽 말고는 기억에 남는게 없다",중립
정영훈,3.5,박소담이 반짝 반짝 매력적인 드라이브. 송새벽은 어찌저리 미울꼬 ㅎㅎ,긍정
새싹,3.5,정 때문에 죽고 사는 게 삶이다가 이 영화를 관통하는 중심인가? 과정은 애매한데 결과가 좋으니까 된 건가. 아리송. 2022. 04. 08. 3.5,긍정
마늘빵,2.5,박소담 보려고 끝까지 봤다. 여러모로 부족한 영화. 자동차 액션은 조금 볼만했고 소담이 머리 했네 하면서 계속 봤다.,중립
No name,1.5,"전반적으로 어색하고 허술한데 사운드가 제일 어색허다-
주변 사람들 소리 하나도 안들리고 오슷트 구리고..
총을 던졌는데 플라스틱 소리가 나믄 으쩌자는 거시냐-
송새벽 연기 컨셉 지짜 하,,,
아이 송새벽 목소리 톤은 무슨 류준열이세요?
다된 박소담에 송새벽 뿌렸네

망령되이얻은재물은줄어가고
손으로모은재물은늘어가느니라",부정
byulbyulbam,1,"액션은 화려함이 아니라 '리듬'에서 완성도가 결정된다.

(2022.01.15)",부정
주준형,3.5,"뻔한 스토리를 예상했는데 예상 밖의 속도감과 몰입감에 한 번 놀라고, 촘촘히 짜여진 영화적 구성에 두 번 놀란다.",긍정
SSONG,2,"예고편만 보면 된다.

예고편 본 후 매긴 점수가 100이었다면,

영화를 보면서 점수가 마이너스로 간다.

송새벽 폼이 다시 좀 올라오는 것 같다는게 유일한 위안

20220213",부정
허윤영,3.5,신파랑 막판 갑작스런 여자판 아저씩 전개만 넘어가면 뺑반보다 나은 한국판 카체이싱 영화.,긍정
무비갓,3.5,영화관에서 보는데 육성으로 한번 터짐.,긍정
림군이,1,트랜스포터를 꿈 꾼 똥차 특송,부정
벵말리아,3,어디선가 본 것 같은 장면이라도 재밌게 시간 후딱 지났다. 송새벽 배우 새로운 연기톤 좋았음.,긍정
HAN,3.5,자동차 액션이 시원시원하고 재미있다. 감독이 너무 많은 설정을 넣은 것은 좀 아쉽다. 쿠키영상도 아쉽고,긍정
공태건,2.5,개성 한 스푼만 더 넣어줬더라면 어땠을까?,중립
Fitz,4,"믿고 보는 배우들은 믿고 볼만했고
새로운 얼굴들은...
어쨌든 은하 자체만으로도 충분하다.",긍정
시누이,3.5,청불로 감독판 나왔으면 좋겠다.,긍정
김김밥,2,레옹+베이비 드라이버+은밀하게 위대하게+이퀄라이저.... 좀 더 보태면 익스트랙션... 빠른 카체이싱을 원했지만 빠른 핸들 돌리기 씬만 본 것 같다..,부정
Apoteosis,4,"생각보다 재미있었다. 내용은 “베이비 드라이버” + 존 카사베츠의 “글로리아” + 거기에 글로리아의 gender를 바꾼 “레옹” 한 스푼의 송새벽 연기. 그런데, 영화 내용과 전혀 따로 노는 듯한 음악이 점수 깎아 먹음.",긍정
장호준,3,"존 카사베츠의 [글로리아]와 이를 비튼 뤽 베송의 [레옹] 그리고 [용의자]를 비롯한 한국적 설정에다가 [베이비 드라이버]의 플롯 구조에다가 후반부의 액션시퀀스는 안톤 후쿠아의 [이퀄라이저]의 느낌도 많이 활용된다.

송새벽이 연기하는 악질 형사는 [레옹]의 영향력이 짙게 느껴지지만 송새벽씩의 변주가 이루어졌다고 할 수 있겠다. 전반부에 꽤 경쾌한 카레이싱 프롤로그로 시작하는 신선함이 후반부에는 피칠갑 대결 시퀀스로 넘어가는데 이런 전개는 이상할 것은 없지만...

박소담이 연기하는 장은하 캐릭터는 '산전 수전을 겪은 새터민'이라는 설정 외에는 막강한 전투력을 지닌 이유가 각본적으로 충분히 설명되지 않았다는 생각이 든다. 전체적으로 빠른 호흡의 전개를 통해 이런 설정들이 충분히 설명되지 않아 극적 핍진성을 메우는데, 범죄 오락 액션 영화로서의 흐름이 나쁘지는 않아 크게 나쁘다는 느낌은 약한 편이다.

하지만, 각 등장 인물들이 왜 거기 놓여있는지라거나 각 인물들간의 화학 작용이 충분할만큼의 주어지지 않아 감정선들이 종종 무리하게 느껴지는 부분이 많은 것 역시 사실이다. 그러다보니 나쁘지 않은 오프닝 시퀀스와 레이싱 액션 히어로라는 설정들이 후반부로 갈 수록 퇴색된다는 느낌이다.

그래도 이런 부분을 적당히 눈감으면 꽤 즐겁게 시간을 죽일 수 있는 영화다.",긍정
투빅이,3,그래도 카체이싱은 기억에 남는다.,긍정
류양,3,"트랜스포터 + 베이비드라이버= ?
염혜란 배우가 개성없는 역에 소모된 것같아 안타까웠다. 그래도 킬링타임용으로는 나쁘지않았다
🎬 CGV 위례스타필드시티",긍정
밍8-w,3.5,"요근래 본 한국 액션 영화 중에서 제일 괜찮았음.
이렇게 불편한 지점이 덜한 액션 오락 범죄 영화 찾기 어려운 세상...",긍정
SATOR,2.5,"뇌비우고 보면 뭐 그럭저럭, 전형적인 한국 범죄영화",중립
Lv1 문화인,4,"카체이싱 액션이 인상 깊었던 영화.
자동차 엔진 소리와 사이드 브레이크 소리, 타이어 마찰음 등
영화를 보는 동안 나를 카레이서로 만들어버렸다.

스토리 자체는 뻔한 클리셰 범벅이라 아쉽긴 하지만
박소담 배우의 멋진 액션씬만으로 충분히 만족했던 영화.",긍정
probohemia,2,"니키타 레옹 니드포스피드 베이비드라이버 뽕짝.
김의성 배우를 제외하면 연기구멍 투성이…
창작물이 아니고 여기저기 모아다 짜집기했네…",부정
제트별,2.5,끈덕지게 물고 가는 캐릭터 체이싱 원툴,중립
라씨에이,2,"4.0/<베이비 드라이버>의 짝퉁, 아류작이란 빈정거림이 오히려 휘황찬란한 수식어로 느껴질 만큼 우려했던 것보다 훨씬 더 별로인 졸작. 클리셰들조차 효과적으로 써먹질 못해서 전형적이란 평가마저도 붙여주기 아까울 지경.
/
주인공이 애를 달고 다니게 되는 계기가 영 설득력 떨어짐. 의뢰인인 애 아빠는 죽어버렸고, 애는 고아들 다루는 조직에서 데려가게 됐고, 주인공네는 배송비 챙기고, 그 조직이 당장 애를 데리고 뭐 이상한 짓을 벌인 것도 아니고. 주인공이 딱히 애를 챙길 만한 사연 같은 게 제시된 상태도 아님. 모든 게 일사천리로 적당히 깔끔하게 정리된 상황임에도 유리에 비친 자기 얼굴 쳐다보는 장면 하나만으로 심경이 바뀌어서는 굳이 애를 데려오는데, 그냥 답답하고 억지스러워서 짜증이 날 뻔했음. 이후로 주인공이 가족 다 죽고 혼자 탈북했다는 사연이 공개되긴 하지만, 하다못해 탈북 당시의 상황을 재연하는 성의조차 보이지 않아서 주인공의 병크는 여전히 설명이 안 됨. 그냥 주인공이 애를 데려오지 않으면 이야기 진행이 안 되니까 데려왔다고 밖에 판단할 수가 없었음. 마찬가지로 김의성이 아이와 주인공을 목숨까지 걸어가며 감싸는 모습도 설득력 겁나 부족함. 이 또한 본인이 주인공 탈북할 때 브로커였다는 사연을 단지 대사만으로 제시하며 퉁침. 이렇다보니 아이를 구하기 위해 송곳 하나 들고 쳐들어가는 주인공의 모습 또한 납득이 될 리가 없음. 그냥 각본 자체가 겁나 허술하고 게으름. 캐릭터들이 미련한 선택을 할 때마다 관객들이 으레 알아서 상상력을 발휘해 주겠지 하는 안일한 생각으로 얼렁뚱땅 넘어가기 일쑤라서 괘씸하기까지 함. 보는 입장에선 이렇게 하지 않으면 이야기가 진행되지 않을 테니까 인내하며 봐주고 있는 건데, 영화는 자꾸만 선 넘는 안일함과 게으름을 일삼고 있음.
/
막판 갑자기 각성해서는 무쌍 찍고 살육전을 벌이는 주인공의 모습 역시 겁나 뜬금없고 어이도 없음. 운전 능력치에 몰빵했단 설정의 주인공이 갑자기 준 블랙위도우급 신들린 몸놀림을 펼치며 혼자 깡패들 여럿을 제압하고 악당과 일대일 상황까지 만들어냄. 주인공이 사실 싸움도 만렙이라는 설정을 내가 중간에 놓친 건가, 내 잘못인가 싶을 정도로 난데없이 펼쳐지는 격투액션 덕에 즐기고 말고 할 겨를도 없이 저게 뭔가 하고 벙쩌있을 수밖에 없었음.
/
어찌어찌 주인공이 애를 데리고 다니게 됐으니, 영화는 이제 그 둘의 케미를 통해 흥행 포인트를 뽑아먹으려 안간힘을 쓰기 시작함. 허나 주인공이나 아이나 배우의 역량을 떠나 캐릭터 자제에서 매력이 전혀 느껴지지 않다보니 둘 사이에서 뭔가를 빼먹을 건덕지조차 없음. 주인공은 아이를 대함에 있어 츤데레 말고 그냥 온냉을 오가며 갈팡질팡 하기만 하고, 아이는 떼쓰거나 소리 지르거나 트름만 꺽꺽 해대고 있고, 그렇다고 둘이 도망다니면서 함께 보내는 시간이 그닥 애틋한 것도 아니고. 그냥 흐름상ㅈ어쩌다보니 서로가 서로에게 소중한 존재가 돼있을 뿐이었음. 이 또한 게으르고 안일한 각본의 결과물이라 할 수 있겠음. 당연하게도 아이가 주인공에게 쓴 편지를 낭독하고서 둘이 재회하는 엔딩 또한 전혀 반갑지도, 흐뭇하지도 않았음.
/
카체이싱 액션의 퀄리티는 꽤 괜찮은 편이지만, 그렇다고 이 영화만의 차별성 같은 걸 갖췄다고 보기엔 또 애매함. 꼭 이 영화가 아니더라도 좀 공을 들였다 싶은 상업영화라면 주무기가 카체이싱이 아니어도 충분히 뽑아낼 수 있을 법한 수준임. 더불어 영화의 제목이 무색하게도 제대로 된 카체이싱은 영화 통틀어 서너 번이 고작임. 질적으론 평균 이상은 하지만, 양적으론 영 만족스럽지 못하기에 시원시원한 카체이싱 액션이 기대 포인트라면 굳이 이 영화의 다른 치명적인 문제점들을 견뎌가면서까지 즐길 필요는 없어보임.
/
박소담이 맡은 캐릭터는 전형적인 건 기본에 너무 입맛대로 편의적으로만 움직이니 그냥 뭔가 코멘트를 덧붙이고 싶은 생각조차 들지 않음. 염혜란의 국정원 어쩌구 캐릭터는 결과적으로 막판 상황을 수습하기 위해 모든 게 마무리된 이후 타이밍 좋게 등장하는 경찰차 싸이렌 정도의 역할이 고작이었음. 경찰이자 깡패라는 흥미로운 정체성을 가진 악당을 중간중간 견제하며 또다른 긴장감을 자아내는 역할은 애초에 맡겨주지도 않았음. 한마디로 염혜란 정도의 배우를 기용할 만큼이 절대 아닌, 그냥 간절한 단역배우 누군가에게 기회를 주는 게 윈윈일 정도의 역할이었음. 김의성의 백사장은 티격태격하지만 누구보다 주인공을 아끼는 전형적인 모습을 보여주다 샷건 몇 방 갈기는 짧은 활약 끝에 허무하게 퇴장하는 영양가 없는 캐릭터였음. 그나마 영화에서 유일하게 건질 만한 송새벽의 악당 캐릭터는 배우 특유의 버벅거리고 허술해 보이면서도 만만치 않은 포스를 뿜어내는 스타일을 십분 살린 꽤 괜찮은 캐릭터였음. 분명 막 현실적이지 않은 과장된 컨셉의 연기를 펼치지만 전혀 오글거리거나 어색하지 않고, 오히려 꽤 폼이 날 정도였음. 물론 캐릭터의 서사 자체는 앞뒤도 안 맞고 영 형편없는 가운데, 전적으로 배우가 잘 살린 케이스라서 배우만 쏙 빼서 칭찬해주고 싶은 마음임.",부정
simple is best,3,킬링타임으로 무난하게 재밌음. 그럼 된 거 아닌지,긍정
마녀늘보,3,"2022. 1. 18
가지가지한다 참. 네 가지가지하셨네요 ..
카체이싱에서 갑자기 육탄전 특공대원이 나오면 어찌하나요.
배우들 연기만 쇽 건져보겠습니다 ...",긍정
Kodor,2.5,이젠 이런 영화가 언제까지 나오려나 약간 궁금하다. 당신이 포스터를 보고 예상했을 그 내용이 맞다,중립
Kang,3,"영화가 끝나갈수록 아쉽다라는 생각이 가장 크고 쫌 더 그 이상을 바라볼 수 없는 걸까 카액션 여성원톱 등 영화들이 나오는 것은 좋지만 각색, 연출 등 아쉽다
다만 이 영화의 좋은 점이라곤 가장 첫번째는 송새벽 배우의 인상깊은 악역연기이고 두번째를 뽑자면 박소담 배우의 연기력이지만 작은 그릇을 채우기엔 분에 넘친다",긍정
이동건,3.5,박소담 님의 운전 연기 아주 멋졌어요 ㅎㅎ 킬링 타임으로 아주 괜찮아요,긍정
조경환,1.5,감독은 재능이 없으니 재능낭비라는 말을 안들어서 좋겠다.,부정
간우석,3,그래도 국내판 분노의 질주라고 생각하면서 봤지만 박소담은 기생충 나올때보단 좋았다!!!!,긍정
EunjiLee,2,스포일러가 포함되어 내용을 생략했습니다.,부정
박준현,2.5,개연성도 없으면서 유치하게 힘만 잔뜩.,중립
볼게너무많은데머볼까,2,"홍보영상만봐도 베이비드라이버짝퉁이고
광고가 많이나온다? 10에 7ㅡ8은 개망작이라
홍보라도많이해서 관객수올릴려고그럼....",부정
jememe,3,"아저...씨....?
한국 범죄드라마 그 이상도 이하도 아닌데 박소담만으로도 충분했다.
그런데 만들면서... 새터민도 우리 사회의 구성원이라는 생각은 안들었을까? 재밌게 보겠니?",긍정
정영운,4,희대의 빌런 송새벽과 모성애 박소담,긍정
Jin,1.5,"박소담이랑 포동이 브이로그가 이거보다 재밌겠다
⠀",부정
RAW,2,"롯데리아 불고기 버거
1.9/5점

반도 차량 액션 씬 보다 크게 진보한 건 인정

근데 내장 그래픽에 인텔 기쿨은 선 많이 넘었지

중국 영화 한 편 본거 같은 기분",부정
"Kinomad,",3,"서원아, 아줌마는 오늘 배달만 한다.",긍정
검은여우,3,뭐야?! 왜 은근 재밌지?!,긍정
김미정,3.5,보는 내내 운전실력에 감탄하게 된다 대리만족 제대로. 아저씨들 감탄사가 들릴 정도니ㅎㅎㅎㅎ   편하고 가볍게 보기 좋다. 조금은 잔인했지만.,긍정
haru,3,"애가 너무 고생했겠는데 ..? 라는 생각만😥
생각보다 더 자비없는 느와르😨",긍정
첼로비올라케,2,신파만 없으면 3점,부정
장민아,3.5,"송새벽 연기 왜이렇게 잘해?
내가 알던 송새벽이 아니었다
그리고 남자친구 해준댘ㅋㅋㅋㅋㅋ
바지에 오줌 안 싸는 남자가 이상형이라고 ㅠ",긍정
왓탁,2.5,헛웃음이 나오는 레퍼런스들의 활용.,중립
조재현,4.5,"지루할 틈 없고, 뻔할 수 있는것을 절제된 감정으로 표현함.
박소담의 연기와 차량씬은 덤

- CGV 광주 용봉점 / 220115 / With HN",긍정
seong,2.5,"캐릭터 묘사나 고민한 액션 장면의 힘은 분명한데, 그걸 버티지 못한 드라마의 장력.",중립
nono,2,애 우는 장면만 좀 줄였으면 0.5점 더 줬을거다.. 이건 정현준 배우의 문제가 아니라 캐릭터의 문제인듯,부정
HYOMJAA,2,젖살이 덜 빠진 주인공으로 겨우 버틴.,부정
ᴅᴏɪ,2,남자친구가 되고싶으면 아줌마가 아니라 누나라고 불러야지 이놈아,부정
FILMOVIE,1.5,"멀티버스에서도 다송이와 제시카 쌤의 운명은 왜이리 기구한 것인지...
초반부의 카체이싱씬은 역대 한국영화를 통틀어 원탑이라고 할 정도로 잘 뽑았고, 후반부의 액션씬도 나쁘지 않았다. 다만 그게 다인 영화다. 배우의 연기합이나 전개가 다 따로 논다.
주인공인 박소담의 연기톤은 너무 무게감이 없고, 빌런인 송새벽인 연기톤은 거북할 정도로 무게감이 잡혀있다. 전개는 그냥 개판이다.
무엇보다도 웃기라고 넣은 건지 하나도 안 웃긴데 개그요소랍시고 등장인물들이 시도때도 없이 해대는 트림은 역겨웠는데, 옆에 앉은 노년의 부부 관객 둘만 트림 씬마다 웃었다.
특송이 아니라 트림을 제목으로 했어야..
그리고 박소담은 누가봐도 동안인 얼굴이라 아무리 아이라고 한들 처음봤을 때부터 주욱 아줌마라고 하기엔 너무 괴리감이 컸다.",부정
임성재 (HYOJO),3.5,"그녀의 거칠고 화끈한 운전 실력에 반해버렸다.
긴장감 넘치는 음악을 곁들인 카체이싱 액션 영화.",긍정
성재,1,제목이 특송인데 중반부터는 A/S하는 영화로 바뀌다니,부정
Jaemin Bae,2,비록 1월이라 너무 이르긴하지만 특송은 올해의 무근본 영화가 될 훌륭한 자질을 가지고 있다.,부정
jessss,2.5,나만 베이비 드라이버 생각한게 아니었구나..,중립
최지민,4.5,박소담은 정말 멋진 배우다,긍정
김민정,2,"전혀 새로울 게 없다 익숙한 캐릭터, 익숙한 전개 킬링타임용으로 본다면 뭐… 원빈 주연 <아저씨>와 비슷",부정
이종인,1.5,"이름 값 못하는 영화. 오프닝 시퀀스만 보고 나간 사람이 진정한 승자다.

카체이스 장면도 생각보다 별로 없고, 그나마 있는 액션 씬도 너무 뻔하다. 똑같은 레퍼토리의 노잼 개그와 띠용스러운 연기력까지.. 최악이다.

감독님이 트림을 좋아하시나? 주연, 조연 빼놓지 않고 다 트림을 하고 다니네. 기분 나쁘게시리..",부정
이나나,4,액션을 좋아해서 그런지 좋아할 수 밖에 없다!!,긍정
충정지애,2,송새벽의 악역 연기만 기억에 남는다,부정
메이,3,"아저씨가 되고 싶었던 아줌마.

+) 박소담 배우와 카체이싱 덕분에 0.5점 추가",긍정
석재현,2,"'베이비 드라이버'도 감당할 수 없는 '슈돌'.
'특송'처럼 카 액션이 메인인 영화에서 제일 중요한 건 속도감과 경쾌함이다. 그러나 이 매력을 좀처럼 느낄 수 없다. 액셀러레이터를 계속 밟아야 하는데, 과속방지턱이 계속 등장해서 감속운전을 할 수 밖에 없다. 속도가 느려지는 마당에 특송 에이스 장은하(박소담)는 얼떨결에 육아하는 신세에 놓인다. 은하와 서원(정현준)의 관계성을 살리고 싶었던 감독의 욕심이 앞서, '베이비 드라이버'에서 점점 '슈퍼맨이 돌아왔다'로 변질되어 간다. 2천만원 주고 고물차를 구입한 김서원처럼, '특송'이 그 모양이다. 원맨쇼하는 박소담의 역동성이 제대로 느껴지지 않는다면, 그건 연출자의 책임이다.",부정
따따시,2.5,'특송'이 아니라 '콜택시' 아닌가?,중립
🧸💛,3,카체이싱 굿굿,긍정
Aivy,2,"예상외로 액션을 잘 소화했던 박소담은
좋았지만...

아.. 도대체가.. 이 애를 이용하는 소재는 쫌 그만하면 안될까??
아이라 연기도 안되고 몰입도 뚝뚝 떨어지는데..
극 전반에 식상한 소재들 여기저기 넣어다 쓰고..

심지어 드라이빙 연출도 너무 많이 본것들 몇개 가져다 넣어 두고.. 그다지 긴박함도 연출도 못하고..

아니 그리고..
왜 그리도 트름을 해대는거야?? 대체.?",부정
이상용,2.5,"영화 초반 시퀀스와는 달리 한국판 <베이비 드라이버>라기보다는 액션의 농도나 밀도가 확연히 옅은, 성별만 바꾼 <아저씨>에 가깝다. 의외로 조연들의 연기 보는 재미가 쏠쏠한데 특히 송새벽의 연기가 정말 반갑다.",중립
곰곰곰,4.5,일단..이렇게 사이즈 있는 영화에 크레딧 1번으로 나오는 것부터 팬으로서는 가슴이 웅장해짐...첫 단독 주연이라고ㅜㅜ 그리고 영화 끝까지 냉소적인 말투와 표정까지 최고였음 진짜 찍으면서 고생 했을 거 같더라ㅠㅠ,긍정
신종한,3,"베이비드라이버를 연상하게하는 카체이싱,빛바랜 낡고 낡은 이야기의 불협화음.",긍정
diaana,3.5,재밌는데...?!,긍정
명기,2.5,"초반 카체이싱은 진짜 좋았는데..
후반으로 갈수록 이게 뭐지.. ㅋㅋㅋ
박소담 배우 첫 단독주연에 액션인데 잘 소화해냈음
그리고 목소리 넘 스윗❤️
생각보다 잔인하고 과격하다
(2022.01.04 cgv용산아이파크몰 시사회)",중립
함수정,2.5,"영화에서 카체이싱 장면은 진짜 짱이다.
그냥 숨을 죽이면서 좁은 도로를 질주하는 차가 무사하기만을 바랄 뿐.
.
기차앞을 드리프트로 꺾어들어가는 장면에선 그냥 와~~~라는 소리가 나올 수 밖에 없는..
.
부패경찰의 끝판왕을 봤다. 예고편으로 봤을땐 깡패집단인줄 알았는데 경찰조직이었다니...아~~~진짜 현실이 아닌게 얼마나 다행인지..
.
은하가 서원을 그렇게 챙긴 이유가 뭘까? 생각을 해봤는데 일단 서원이 혼자된 이유를 알게 된게 제일 클것 같고..
한편으론 측은지심이 발동을 했을수도 있고..
.
은하에게 드라이버와 열쇠꾸러미는 만능키였는데...
마지막에 보인 열쇠꾸러미를 보니 그제서야 큰 숨을 쉴 수 있었던..
.
그러고보니 영화가 사람을 갖고 노네.ㄷㄷㄷㄷ
.
ㅎㅎㅎㅎ  암튼 영화의 첫 장면에 등장한 사장...차안에서 겁나 웃겼슴..그 표정이 잊혀지지가 않네..ㅋㅋㅋㅋ
.",중립
영화 매니아,1,"ㅋㅋ
줄거리가 완전 트랜스 포터 한국판

초반까지는 좋아지만 후반는 지루",부정
손태하,2.5,"부디 모성에 의지 하지 않는 여성 액션 영화가 나오길.

P.S. 박소담이라 좋았다.",중립
특미구포,2.5,잘 달리는 자동차가 주차는 못한다,중립
pink플로이드,3,"뺑반 박소담이 결국 특송으로...
송새벽 하나 건졌다",긍정
전민욱,2.5,잘 비비긴 했다,중립
유태,3,"누군가의 죽음
그리고 어떻게든 데리고 다니는 아이
그럼에도 제일 반전은
김의성 악의 없는 게 제일 반전",긍정
김태우,2.5,영화에 없는 개연성을 액션으로 채웠다,중립
